shift,method,seam_position,seam_angle_deg,seam_d1,seam_d2,curvature_left,curvature_right,speed_left,speed_right,bending,aligned_origin_change
5,speed_matched,3.1175434024639254e-17,0.0,1.8139294272506095e-15,1.815029027805436,-9.979176012515788e-14,-6.386672648010116e-14,0.4124804445812491,0.4124804445812489,25.584012050554513,0.07467353455077537
5,periodic,0.0,0.0,1.5224023377462695e-16,9.534643826205633e-16,2.784187437333195,2.7841874373331907,1.6382231294148257,1.6382231294148257,26.745016176838234,5.956058307454617e-16
6,direct,3.1175434024639254e-17,21.732898637972678,0.3751121903473294,1.8522748336976478,7.264666682810358e-15,-2.953020927054362e-14,0.9745110578072784,0.8467581880317979,22.825070655475468,0.019566011735391315
6,geometric,8.817744322102495e-17,0.0,0.1310943254588952,1.8859668351933991,0.0,1.4765104635271777e-14,0.4872555289036391,0.4233790940158993,33.68564737194354,0.06795173348464562
6,speed_matched,6.235086804927851e-17,0.0,1.6186230462524544e-15,1.7698216105547688,0.0,-3.874488897498867e-14,0.4872555289036391,0.4872555289036388,33.41280520823849,0.07467319975200612
6,periodic,8.817744322102495e-17,1.2074182697257333e-06,2.771818634676894e-16,1.2312973172463558e-15,-0.33084949644059924,-0.3308494964405942,1.7995655926181224,1.7995655926181224,26.745016176838252,6.54974000431736e-16
7,direct,0.0,75.3702019160618,1.0232760609852523,1.5233221235539425,0.0,-9.711591561000333e-15,2.25671367303255,1.32146231051375,17.404871100452134,0.05532730148231503
7,geometric,6.235086804927851e-17,0.0,0.4144306713319187,1.923991550753053,7.799834056184867e-16,-4.8557957805001617e-14,1.128356836516275,0.6607311552568752,32.02845274710833,0.1419709162661911
7,speed_matched,0.0,0.0,1.1051622329294793e-16,1.6337388347229393,7.799834056184867e-16,-1.5599668112369733e-15,1.128356836516275,1.128356836516275,32.61521818812812,0.1419709162661911
7,periodic,6.426980370403116e-17,0.0,4.721993380241946e-16,4.023786495567735e-16,9.729665106031359,9.72966510603136,2.3620664950133885,2.362066495013387,26.74501617683823,4.86975846974376e-16
8,direct,3.1175434024639254e-17,44.695219347588846,0.729744191598148,1.725166485813512,-5.96730734545855e-15,8.213532282260771e-16,1.145281148796154,2.2181704994599065,22.822313588949786,0.030865073146072924
8,geometric,3.1175434024639254e-17,0.0,0.48368209338506013,1.8644255367057183,-5.3705766109126945e-14,-8.213532282260785e-16,0.572640574398077,1.1090852497299528,29.038041830086275,0.1302502773935458
8,speed_matched,3.1175434024639254e-17,0.0,2.1776615502601342e-16,1.5972959898692964,-5.3705766109126945e-14,-2.9836536727292773e-15,0.572640574398077,0.5726405743980769,33.21475838016876,0.18644241548324023
8,periodic,9.352630207391776e-17,0.0,2.8456572038655436e-16,6.56306207449164e-16,4.1388437091963715,4.138843709196376,2.6293062129021454,2.629306212902145,26.74501617683824,8.283518737571565e-16
9,direct,3.1175434024639254e-17,12.856633673760406,0.22457500405133207,1.9026892803060198,-1.0860994194285012e-14,-6.344758559290444e-15,0.9428867111942578,0.8906147482046018,24.761008269647284,0.019592574768131622
9,geometric,0.0,0.0,0.05543822218413487,1.9147036163735558,-1.3367377469889257e-15,-2.855141351680696e-14,0.4714433555971288,0.4453073741023011,30.98422452840507,0.08007820954015286
9,speed_matched,0.0,0.0,5.91463545976659e-16,1.9683894032729645,-1.3367377469889257e-15,8.020426481933545e-15,0.4714433555971288,0.47144335559712897,30.516866667466743,0.0857872104808148
9,periodic,3.8969292530799064e-17,0.0,1.5159936700573208e-16,3.051927719959824e-15,-2.1508545551884053,-2.150854555188408,1.6451485063765727,1.6451485063765727,26.745016176838238,7.508038746851858e-16
10,direct,6.235086804927851e-17,20.99326326972611,0.45214779492006696,1.8910396723740297,1.0100024166778817e-15,5.544967105332158e-15,1.6433148445259116,1.0809408591592897,25.225713896602752,0.01965807061458298
10,geometric,6.426980370403116e-17,0.0,0.3422192571557183,1.923170948689313,0.0,-3.7262178947832164e-14,0.8216574222629556,0.5404704295796445,27.572220450776495,0.15391993354220646
10,speed_matched,1.5587717012319627e-17,1.2074182697257333e-06,3.39364741647006e-16,1.7125232263625458,0.0,-2.0200048333557634e-15,0.8216574222629556,0.8216574222629558,27.79722460704888,0.1597235953793518
10,periodic,8.817744322102495e-17,0.0,4.628123745103219e-16,1.3517057112564133e-15,2.2786144255387857,2.2786144255387826,2.2218871315887094,2.221887131588708,26.74501617683825,6.74427755464089e-16
11,direct,6.971038970715322e-17,39.92307547210888,0.641947034181687,1.817627180362793,-1.786604947990161e-15,1.711779787610946e-15,1.3587891547756659,1.736556627854455,23.26915458861462,0.03257410262954812
11,geometric,1.3942077941430644e-16,0.0,0.21753824034262972,1.933656253675503,2.5012469271862255e-14,0.0,0.6793945773878329,0.8682783139272275,26.649004419374542,0.1070499217316872
11,speed_matched,1.2853960740806232e-16,0.0,1.1164808684812793e-15,1.8380619275853092,2.5012469271862255e-14,1.9652654427891817e-14,0.6793945773878329,0.6793945773878324,27.06506872172349,0.11165686277929282
11,periodic,6.235086804927851e-17,0.0,0.0,0.0,3.720207294511188,3.720207294511188,2.498228695500816,2.498228695500816,26.74501617683822,8.734686794615696e-16
